Date,Open,High,Low,Close,Volume,CumulativeVolume
04-05-2022 09:07,38432.4500,38432.4500,38432.4500,38432.4500,0,0
04-05-2022 09:08,38432.4500,38432.4500,38432.4500,38432.4500,0,0
04-05-2022 09:09,38432.4500,38432.4500,38432.4500,38432.4500,0,0
04-05-2022 09:10,38432.4500,38432.4500,38432.4500,38432.4500,0,0
04-05-2022 09:11,38432.4500,38432.4500,38432.4500,38432.4500,0,0
04-05-2022 09:12,38432.4500,38432.4500,38432.4500,38432.4500,0,0
04-05-2022 09:13,38432.4500,38432.4500,38432.4500,38432.4500,0,0
04-05-2022 09:14,38432.4500,38432.4500,38432.4500,38432.4500,0,0
04-05-2022 09:15,38432.4500,38737.3500,38432.4500,38693.1000,730679,730679
04-05-2022 09:16,38691.8000,38705.7000,38628.8500,38643.7500,521173,1251852
04-05-2022 09:17,38643.5500,38674.9500,38618.3000,38620.2000,431748,1683600
04-05-2022 09:18,38618.0000,38635.8500,38555.7000,38564.7500,250431,1934031
04-05-2022 09:19,38570.1500,38579.9500,38486.9500,38529.7000,318748,2252779
04-05-2022 09:20,38522.4500,38528.1500,38410.7000,38422.8500,255365,2508144
04-05-2022 09:21,38422.3500,38422.3500,38329.7500,38364.6500,284004,2792148
04-05-2022 09:22,38362.1500,38362.1500,38299.2500,38343.6000,211190,3003338
04-05-2022 09:23,38344.0000,38345.8000,38305.1500,38313.5500,213709,3217047
04-05-2022 09:24,38310.3000,38328.6000,38297.2500,38310.7500,133541,3350588
04-05-2022 09:25,38308.2500,38332.4000,38275.6000,38283.9500,137499,3488087
04-05-2022 09:26,38286.8500,38286.8500,38255.4000,38269.8000,206938,3695025
04-05-2022 09:27,38271.9500,38287.6000,38257.2500,38275.1000,316819,4011844
04-05-2022 09:28,38273.2000,38273.2000,38233.7000,38260.1000,314434,4326278
04-05-2022 09:29,38262.5000,38262.5000,38222.5000,38243.4000,191997,4518275
04-05-2022 09:30,38243.2000,38273.6000,38193.5500,38268.2500,158616,4676891
04-05-2022 09:31,38267.3000,38285.7000,38258.9500,38262.2000,133437,4810328
04-05-2022 09:32,38268.9500,38269.7000,38243.2500,38243.6500,142471,4952799
04-05-2022 09:33,38246.9000,38247.8000,38227.6000,38237.2500,88288,5041087
04-05-2022 09:34,38234.4000,38254.6500,38229.0000,38247.3000,140221,5181308
04-05-2022 09:35,38249.5500,38250.9500,38213.6000,38213.6000,236918,5418226
04-05-2022 09:36,38210.6500,38233.5000,38197.0000,38205.6500,164163,5582389
04-05-2022 09:37,38212.1000,38215.8500,38192.6000,38199.7000,146732,5729121
04-05-2022 09:38,38198.5500,38222.7500,38186.8500,38222.7500,92253,5821374
04-05-2022 09:39,38224.7000,38242.7500,38205.7000,38236.5500,183352,6004726
04-05-2022 09:40,38235.6500,38253.9500,38226.7500,38233.5000,124823,6129549
04-05-2022 09:41,38234.3500,38238.0000,38206.7500,38217.5000,108570,6238119
04-05-2022 09:42,38222.2500,38233.7000,38211.0500,38232.1500,63170,6301289
04-05-2022 09:43,38231.9000,38279.2000,38227.3000,38258.9000,83169,6384458
04-05-2022 09:44,38258.9500,38278.0000,38256.1500,38266.8000,118277,6502735
04-05-2022 09:45,38265.5500,38266.1500,38221.0500,38222.2500,90720,6593455
04-05-2022 09:46,38218.0500,38248.6500,38218.0500,38248.6500,65759,6659214
04-05-2022 09:47,38247.3500,38265.0000,38240.4000,38255.0500,71479,6730693
04-05-2022 09:48,38256.8000,38256.8000,38240.2500,38245.4500,78682,6809375
04-05-2022 09:49,38246.2000,38246.2000,38206.3000,38222.1000,75616,6884991
04-05-2022 09:50,38222.7500,38225.7000,38194.4500,38196.1000,50317,6935308
04-05-2022 09:51,38201.4500,38201.4500,38170.5000,38194.3500,107612,7042920
04-05-2022 09:52,38207.0000,38229.8500,38198.2000,38205.1500,130465,7173385
04-05-2022 09:53,38202.0000,38249.0500,38200.0000,38213.8500,260360,7433745
04-05-2022 09:54,38225.7000,38256.9500,38201.6000,38256.9500,472925,7906670
04-05-2022 09:55,38250.4500,38276.0500,38233.7500,38263.2500,326975,8233645
04-05-2022 09:56,38266.5000,38281.0500,38244.2500,38246.5500,65558,8299203
04-05-2022 09:57,38249.0000,38254.0000,38235.0000,38250.7500,55955,8355158
04-05-2022 09:58,38250.1000,38250.1000,38223.3500,38227.4000,48844,8404002
04-05-2022 09:59,38225.9500,38240.1000,38225.9500,38237.6500,55496,8459498
04-05-2022 10:00,38238.8500,38273.3000,38238.2000,38267.1000,46306,8505804
04-05-2022 10:01,38268.4000,38270.2500,38241.4500,38248.5000,34152,8539956
04-05-2022 10:02,38249.8000,38249.8000,38223.7000,38224.5500,111203,8651159
04-05-2022 10:03,38229.2500,38229.2500,38203.2500,38212.2500,65259,8716418
04-05-2022 10:04,38209.7000,38215.1500,38201.7000,38209.8500,282853,8999271
04-05-2022 10:05,38201.5000,38222.6500,38196.3500,38219.9500,101614,9100885
04-05-2022 10:06,38218.7500,38243.9500,38214.6500,38243.4500,145292,9246177
04-05-2022 10:07,38241.6000,38273.9000,38234.7000,38268.3000,415281,9661458
04-05-2022 10:08,38269.7000,38284.9500,38262.5000,38266.6500,151450,9812908
04-05-2022 10:09,38269.5000,38273.4500,38243.5000,38268.7500,95417,9908325
04-05-2022 10:10,38270.9000,38299.8500,38269.6500,38289.7500,134827,10043152
04-05-2022 10:11,38290.4000,38307.1000,38271.9500,38287.6000,64179,10107331
04-05-2022 10:12,38295.4500,38297.8000,38285.9500,38288.5000,58094,10165425
04-05-2022 10:13,38289.3000,38294.4500,38281.7500,38292.2000,97325,10262750
04-05-2022 10:14,38292.4000,38308.0500,38283.3000,38307.5500,47828,10310578
04-05-2022 10:15,38302.2500,38310.5000,38283.7500,38285.4000,124797,10435375
04-05-2022 10:16,38286.8500,38300.8000,38280.2500,38297.6000,412792,10848167
04-05-2022 10:17,38296.9000,38300.3000,38278.6000,38285.5500,196353,11044520
04-05-2022 10:18,38285.2500,38297.7500,38277.9500,38292.4000,79696,11124216
04-05-2022 10:19,38290.1000,38298.7000,38283.0000,38288.3000,41902,11166118
04-05-2022 10:20,38289.0500,38290.0500,38274.4000,38288.2000,57132,11223250
04-05-2022 10:21,38287.9000,38289.4500,38277.2500,38281.0500,85718,11308968
04-05-2022 10:22,38276.1500,38288.6000,38267.1500,38272.6500,54992,11363960
04-05-2022 10:23,38275.0000,38277.5500,38243.0500,38243.6000,75229,11439189
04-05-2022 10:24,38244.3500,38258.9500,38240.0500,38241.1000,44247,11483436
04-05-2022 10:25,38244.2000,38244.2000,38200.4500,38208.6000,81578,11565014
04-05-2022 10:26,38211.1500,38215.9000,38190.1500,38190.5500,40113,11605127
04-05-2022 10:27,38183.9500,38199.5000,38181.6500,38181.6500,68032,11673159
04-05-2022 10:28,38178.8000,38185.8000,38128.2500,38142.0000,70029,11743188
04-05-2022 10:29,38141.1500,38141.1500,38100.3000,38119.5500,94024,11837212
04-05-2022 10:30,38112.9500,38126.4500,38106.1000,38117.7500,138905,11976117
04-05-2022 10:31,38117.1000,38142.6500,38102.9500,38134.1500,121270,12097387
04-05-2022 10:32,38133.8500,38141.1500,38121.7000,38122.6000,81496,12178883
04-05-2022 10:33,38121.6500,38128.9000,38099.8000,38107.9000,79657,12258540
04-05-2022 10:34,38105.2500,38110.7500,38072.2500,38090.8000,77097,12335637
04-05-2022 10:35,38089.2500,38105.0000,38082.8000,38091.5500,40367,12376004
04-05-2022 10:36,38091.4000,38128.1500,38087.0000,38123.0000,50872,12426876
04-05-2022 10:37,38118.0000,38118.8000,38101.5000,38110.2500,34612,12461488
04-05-2022 10:38,38106.8500,38119.8500,38103.2500,38114.9500,47184,12508672
04-05-2022 10:39,38112.6500,38114.7000,38089.9000,38094.3000,46370,12555042
04-05-2022 10:40,38095.3500,38095.3500,38040.2000,38042.3000,66001,12621043
04-05-2022 10:41,38038.6000,38048.0000,38025.5000,38036.2500,121550,12742593
04-05-2022 10:42,38034.8500,38071.8000,38034.8500,38065.8500,103026,12845619
04-05-2022 10:43,38066.2500,38074.8500,38051.1000,38055.6500,47261,12892880
04-05-2022 10:44,38056.5500,38056.5500,38015.8500,38019.1500,71244,12964124
04-05-2022 10:45,38017.5500,38017.5500,37973.2000,37978.1000,186024,13150148
04-05-2022 10:46,37982.3500,37982.4000,37960.7500,37975.0000,103052,13253200
04-05-2022 10:47,37973.9000,37986.0500,37968.8000,37974.5500,62098,13315298
04-05-2022 10:48,37977.6000,37993.0500,37955.9000,37981.5500,94693,13409991
04-05-2022 10:49,37982.8500,37984.5500,37968.6000,37975.7500,51731,13461722
04-05-2022 10:50,37977.4500,37989.7500,37972.8500,37977.9000,62586,13524308
04-05-2022 10:51,37976.8500,37998.3000,37972.6000,37980.2000,44551,13568859
04-05-2022 10:52,37979.4000,37981.5500,37960.2500,37967.9500,77702,13646561
04-05-2022 10:53,37968.1500,37970.7500,37957.6500,37970.7500,37772,13684333
04-05-2022 10:54,37973.8000,38020.4000,37967.7500,38000.2500,156867,13841200
04-05-2022 10:55,38002.5000,38008.4000,37987.8500,37992.8500,137073,13978273
04-05-2022 10:56,37993.9000,38004.0500,37989.8500,38004.0000,39879,14018152
04-05-2022 10:57,37997.5000,38021.9000,37997.5000,38018.8500,30408,14048560
04-05-2022 10:58,38017.4000,38047.4000,38016.3000,38029.2500,174303,14222863
04-05-2022 10:59,38032.9500,38032.9500,38020.0000,38023.5000,56195,14279058
04-05-2022 11:00,38025.9500,38036.3500,38011.4500,38035.4000,47946,14327004
04-05-2022 11:01,38034.9500,38034.9500,37998.5500,37999.7000,52114,14379118
04-05-2022 11:02,37999.7000,38006.4500,37955.3500,37967.4500,69752,14448870
04-05-2022 11:03,37970.4000,38006.0000,37962.4500,37996.1000,169511,14618381
04-05-2022 11:04,38001.1500,38012.0500,37994.0000,38007.2500,16731,14635112
04-05-2022 11:05,38010.1500,38036.3500,38001.9000,38004.2500,47997,14683109
04-05-2022 11:06,38004.7500,38029.7000,38002.4000,38020.3500,231261,14914370
04-05-2022 11:07,38024.5000,38038.7000,38019.6500,38036.2500,198912,15113282
04-05-2022 11:08,38035.3000,38036.8500,38022.9500,38029.0500,105900,15219182
04-05-2022 11:09,38032.2000,38045.9000,38028.7000,38044.4000,75428,15294610
04-05-2022 11:10,38038.3000,38041.9500,38003.5500,38006.8500,69217,15363827
04-05-2022 11:11,38009.0500,38014.9500,38006.2000,38006.5500,55466,15419293
04-05-2022 11:12,38006.3000,38020.0500,38003.9500,38018.5500,34106,15453399
04-05-2022 11:13,38019.8500,38026.3000,38012.8000,38019.1500,42135,15495534
04-05-2022 11:14,38024.7500,38030.2500,38018.6500,38022.9500,34927,15530461
04-05-2022 11:15,38017.5500,38018.7000,37994.5000,38000.6500,66623,15597084
04-05-2022 11:16,37995.8000,38000.7500,37980.1000,37982.0000,70229,15667313
04-05-2022 11:17,37985.0000,37992.3500,37958.1500,37988.3000,110763,15778076
04-05-2022 11:18,37990.7500,38005.1500,37986.7500,38000.6000,74956,15853032
04-05-2022 11:19,38000.2000,38029.1500,37999.4000,38013.5000,272361,16125393
04-05-2022 11:20,38019.8000,38025.7500,38006.0000,38022.7000,198482,16323875
04-05-2022 11:21,38021.3000,38039.5500,38020.6000,38039.5500,64692,16388567
04-05-2022 11:22,38038.4500,38062.2000,38034.5000,38044.8000,41344,16429911
04-05-2022 11:23,38044.1500,38058.6500,38043.3500,38050.0500,317835,16747746
04-05-2022 11:24,38050.9500,38060.0000,38043.2500,38055.4500,100365,16848111
04-05-2022 11:25,38055.6500,38069.6000,38051.9000,38058.7500,70593,16918704
04-05-2022 11:26,38058.3000,38062.8000,38048.2000,38060.8000,34161,16952865
04-05-2022 11:27,38057.8000,38060.0000,38033.6500,38038.6500,35824,16988689
04-05-2022 11:28,38034.3500,38043.3000,38027.8000,38043.3000,39572,17028261
04-05-2022 11:29,38036.0500,38046.0000,38033.1000,38039.0000,283826,17312087
04-05-2022 11:30,38037.7000,38040.4000,38002.1000,38004.3000,112487,17424574
04-05-2022 11:31,38002.4000,38015.0500,38001.3000,38003.5500,42363,17466937
04-05-2022 11:32,38005.8500,38006.2500,37982.8500,37993.5000,101749,17568686
04-05-2022 11:33,37992.7500,38039.5500,37992.0500,38019.5500,189442,17758128
04-05-2022 11:34,38015.3500,38042.7500,38012.8500,38041.3500,35881,17794009
04-05-2022 11:35,38041.9000,38047.5000,38022.9000,38025.8000,45823,17839832
04-05-2022 11:36,38022.4500,38055.7500,38022.4500,38044.4500,38170,17878002
04-05-2022 11:37,38048.4500,38058.7500,38039.1500,38053.9000,33526,17911528
04-05-2022 11:38,38056.2500,38057.7000,38039.1500,38039.1500,234780,18146308
04-05-2022 11:39,38042.2500,38042.2500,38024.1500,38026.2500,74247,18220555
04-05-2022 11:40,38024.4000,38045.7000,38022.0500,38045.7000,73648,18294203
04-05-2022 11:41,38044.1500,38055.5000,38043.4000,38050.3500,49219,18343422
04-05-2022 11:42,38050.6500,38087.1500,38049.7000,38076.0000,130952,18474374
04-05-2022 11:43,38072.7500,38089.4500,38058.8500,38088.5000,56615,18530989
04-05-2022 11:44,38091.0000,38094.6000,38083.2500,38090.7500,48509,18579498
04-05-2022 11:45,38091.3500,38094.2000,38084.2000,38086.7000,67590,18647088
04-05-2022 11:46,38087.9500,38105.2000,38080.1000,38096.3000,38809,18685897
04-05-2022 11:47,38101.2500,38101.9500,38081.8000,38092.8000,63890,18749787
04-05-2022 11:48,38092.7500,38122.9500,38088.1000,38119.5500,95196,18844983
04-05-2022 11:49,38120.1500,38150.2000,38120.1500,38130.1500,129948,18974931
04-05-2022 11:50,38132.8500,38144.6500,38129.8500,38135.0000,53558,19028489
04-05-2022 11:51,38136.6000,38173.8500,38136.2000,38168.7500,66612,19095101
04-05-2022 11:52,38168.9500,38191.1000,38165.4500,38185.8500,65199,19160300
04-05-2022 11:53,38190.5000,38190.5000,38173.0000,38173.0000,53051,19213351
04-05-2022 11:54,38171.6000,38176.4000,38152.3500,38164.7000,37464,19250815
04-05-2022 11:55,38162.9500,38180.1500,38162.9500,38172.3000,51983,19302798
04-05-2022 11:56,38175.3500,38176.2500,38160.4000,38174.6000,41199,19343997
04-05-2022 11:57,38175.7000,38224.8000,38173.9000,38220.3500,127933,19471930
04-05-2022 11:58,38217.6500,38230.8500,38212.8000,38221.8500,122684,19594614
04-05-2022 11:59,38221.4500,38228.1500,38200.2000,38201.6500,71151,19665765
04-05-2022 12:00,38202.4000,38209.1000,38178.0500,38195.4000,81783,19747548
04-05-2022 12:01,38198.6000,38213.9000,38197.7500,38204.8500,86930,19834478
04-05-2022 12:02,38199.4000,38202.3000,38167.7500,38167.7500,66863,19901341
04-05-2022 12:03,38173.9000,38185.7500,38158.3000,38178.5000,71053,19972394
04-05-2022 12:04,38181.6500,38199.8500,38179.6500,38189.0500,60453,20032847
04-05-2022 12:05,38188.9500,38202.4000,38184.2500,38197.2500,59543,20092390
04-05-2022 12:06,38201.6000,38214.5000,38194.0500,38205.9500,42470,20134860
04-05-2022 12:07,38206.3000,38220.2000,38206.1500,38213.0000,242344,20377204
04-05-2022 12:08,38211.2000,38215.3500,38171.7000,38177.8500,104703,20481907
04-05-2022 12:09,38175.4500,38184.1500,38126.5500,38126.5500,73989,20555896
04-05-2022 12:10,38125.3500,38129.5000,38093.1500,38103.5500,209816,20765712
04-05-2022 12:11,38104.9000,38117.9500,38093.3500,38114.7000,128655,20894367
