Date,Open,High,Low,Close,Volume,CumulativeVolume
28-04-2022 09:07,42941.8500,42941.8500,42941.8500,42941.8500,0,0
28-04-2022 09:08,42941.8500,42941.8500,42941.8500,42941.8500,0,0
28-04-2022 09:09,42941.8500,42941.8500,42941.8500,42941.8500,0,0
28-04-2022 09:10,42941.8500,42941.8500,42941.8500,42941.8500,0,0
28-04-2022 09:11,42941.8500,42941.8500,42941.8500,42941.8500,0,0
28-04-2022 09:12,42941.8500,42941.8500,42941.8500,42941.8500,0,0
28-04-2022 09:13,42941.8500,42941.8500,42941.8500,42941.8500,0,0
28-04-2022 09:14,42941.8500,42941.8500,42941.8500,42941.8500,0,0
28-04-2022 09:15,42941.8500,42942.3000,42793.4000,42827.9000,3342582,3342582
28-04-2022 09:16,42829.0000,42829.0000,42766.4500,42784.6000,1433204,4775786
28-04-2022 09:17,42785.5000,42795.8500,42772.9500,42786.0000,1632571,6408357
28-04-2022 09:18,42782.5000,42804.2000,42780.1000,42794.4000,1350544,7758901
28-04-2022 09:19,42793.0500,42798.1000,42752.9500,42759.0500,862872,8621773
28-04-2022 09:20,42757.0000,42761.0000,42721.7500,42741.8500,1538930,10160703
28-04-2022 09:21,42743.8000,42772.5500,42735.8500,42743.9000,897018,11057721
28-04-2022 09:22,42745.2500,42746.5000,42689.9000,42694.0500,1472318,12530039
28-04-2022 09:23,42691.1000,42710.2000,42679.9000,42708.6000,1033528,13563567
28-04-2022 09:24,42710.7500,42712.8000,42675.8500,42679.1000,814212,14377779
28-04-2022 09:25,42676.6000,42695.9000,42671.1500,42687.6500,689364,15067143
28-04-2022 09:26,42686.1500,42692.9000,42655.8500,42669.9000,1256711,16323854
28-04-2022 09:27,42669.4500,42714.2000,42669.4500,42714.2000,393206,16717060
28-04-2022 09:28,42715.5500,42747.8000,42713.3500,42747.8000,601166,17318226
28-04-2022 09:29,42749.6500,42757.8500,42744.0500,42754.5000,580172,17898398
28-04-2022 09:30,42756.7500,42768.3500,42756.7000,42760.8500,919987,18818385
28-04-2022 09:31,42759.1000,42762.0000,42734.1500,42738.9500,484881,19303266
28-04-2022 09:32,42739.0500,42751.0500,42739.0500,42740.5000,786916,20090182
28-04-2022 09:33,42739.7000,42768.5000,42739.7000,42767.7000,476569,20566751
28-04-2022 09:34,42769.4000,42776.8000,42765.8500,42773.0000,804302,21371053
28-04-2022 09:35,42772.4500,42794.6000,42772.4500,42785.9000,628123,21999176
28-04-2022 09:36,42786.4000,42796.1000,42785.0500,42789.9000,492207,22491383
28-04-2022 09:37,42789.0500,42796.1500,42776.0000,42781.0000,520919,23012302
28-04-2022 09:38,42781.6500,42789.0000,42777.2500,42788.3500,478995,23491297
28-04-2022 09:39,42787.4000,42794.9500,42770.5000,42776.1500,885291,24376588
28-04-2022 09:40,42776.2000,42782.0000,42750.1500,42763.7000,677985,25054573
28-04-2022 09:41,42764.8500,42774.5500,42763.1000,42771.4000,481994,25536567
28-04-2022 09:42,42776.1500,42785.6500,42764.4500,42767.4000,398137,25934704
28-04-2022 09:43,42767.5000,42776.8500,42765.5000,42771.5000,515322,26450026
28-04-2022 09:44,42770.7000,42774.6500,42756.3000,42759.8500,507291,26957317
28-04-2022 09:45,42762.8500,42763.9500,42727.5500,42731.4500,393816,27351133
28-04-2022 09:46,42731.5500,42748.0500,42726.3500,42747.1000,429620,27780753
28-04-2022 09:47,42743.9500,42761.4000,42736.9500,42759.5000,523533,28304286
28-04-2022 09:48,42759.5500,42763.6000,42737.6000,42744.4000,511305,28815591
28-04-2022 09:49,42745.6000,42745.6000,42722.2500,42726.8000,378304,29193895
28-04-2022 09:50,42726.1000,42735.1500,42715.9500,42730.7500,762970,29956865
28-04-2022 09:51,42735.5500,42747.4500,42734.0000,42740.1500,471180,30428045
28-04-2022 09:52,42740.9500,42745.7000,42727.5500,42728.0000,424185,30852230
28-04-2022 09:53,42729.9500,42750.0000,42728.9000,42736.6500,765892,31618122
28-04-2022 09:54,42739.8000,42743.1500,42730.1000,42738.5500,677563,32295685
28-04-2022 09:55,42736.8000,42740.9500,42724.3000,42725.4500,692199,32987884
28-04-2022 09:56,42726.3000,42731.2500,42722.2500,42726.5500,504334,33492218
28-04-2022 09:57,42725.7500,42735.8500,42724.8500,42734.3500,848546,34340764
28-04-2022 09:58,42733.1000,42733.1000,42716.7500,42728.0500,407011,34747775
28-04-2022 09:59,42726.7500,42748.6000,42726.5000,42746.7500,616989,35364764
28-04-2022 10:00,42749.9500,42762.7000,42744.9500,42756.4500,461026,35825790
28-04-2022 10:01,42756.8500,42761.2000,42753.2500,42759.2000,522793,36348583
28-04-2022 10:02,42760.0000,42761.4500,42751.6500,42751.8000,292455,36641038
28-04-2022 10:03,42753.1000,42757.2000,42740.5500,42744.1000,1382674,38023712
28-04-2022 10:04,42741.9000,42745.5500,42733.1500,42733.1500,327252,38350964
28-04-2022 10:05,42733.7500,42745.8000,42731.8500,42742.8000,429363,38780327
28-04-2022 10:06,42742.3500,42745.2000,42735.6000,42742.3000,303547,39083874
28-04-2022 10:07,42744.6000,42746.5500,42738.5500,42738.5500,428256,39512130
28-04-2022 10:08,42740.7500,42748.8500,42740.7000,42744.0000,434483,39946613
28-04-2022 10:09,42746.8500,42749.5000,42728.2500,42731.8500,601114,40547727
28-04-2022 10:10,42730.4000,42737.0500,42707.0500,42709.7500,710585,41258312
28-04-2022 10:11,42712.7000,42713.2000,42703.4500,42705.2500,518160,41776472
28-04-2022 10:12,42706.0500,42708.4000,42694.3000,42694.5000,285788,42062260
28-04-2022 10:13,42694.0000,42694.0000,42681.8500,42691.7000,665875,42728135
28-04-2022 10:14,42690.4500,42690.4500,42680.3500,42683.4000,478109,43206244
28-04-2022 10:15,42681.5000,42683.5000,42663.1000,42664.2000,432952,43639196
28-04-2022 10:16,42667.0000,42676.4500,42665.2000,42672.1500,352867,43992063
28-04-2022 10:17,42671.9500,42678.6500,42669.1500,42677.8500,263077,44255140
28-04-2022 10:18,42677.8500,42685.8500,42673.4000,42676.0500,278458,44533598
28-04-2022 10:19,42676.2000,42688.9500,42675.6500,42687.9000,343062,44876660
28-04-2022 10:20,42685.9000,42698.4500,42681.8500,42697.1000,351983,45228643
28-04-2022 10:21,42699.9000,42703.6500,42694.6500,42702.7000,235939,45464582
28-04-2022 10:22,42701.5500,42701.8000,42684.1500,42691.1000,635120,46099702
28-04-2022 10:23,42691.2500,42691.9500,42682.2000,42689.7000,444226,46543928
28-04-2022 10:24,42688.7500,42710.7500,42688.7500,42702.4500,322743,46866671
28-04-2022 10:25,42702.8000,42705.3000,42683.4500,42683.4500,641051,47507722
28-04-2022 10:26,42683.6000,42688.6500,42680.3500,42687.1000,398370,47906092
28-04-2022 10:27,42687.6000,42687.8000,42672.4000,42678.3000,175217,48081309
28-04-2022 10:28,42677.1500,42682.6000,42673.4500,42680.6500,746310,48827619
28-04-2022 10:29,42681.3500,42681.5500,42662.9000,42664.1500,414881,49242500
28-04-2022 10:30,42664.9500,42664.9500,42642.2000,42644.4000,504416,49746916
28-04-2022 10:31,42644.8000,42647.3500,42630.2000,42642.7500,747413,50494329
28-04-2022 10:32,42643.2000,42643.2000,42626.4000,42627.2500,741409,51235738
28-04-2022 10:33,42627.2000,42632.5500,42617.9000,42624.0500,564617,51800355
28-04-2022 10:34,42623.8000,42625.5500,42599.5000,42602.3000,702781,52503136
28-04-2022 10:35,42605.6000,42614.7000,42598.2000,42613.1000,403033,52906169
28-04-2022 10:36,42613.6000,42625.1500,42610.9000,42623.8000,611946,53518115
28-04-2022 10:37,42623.7000,42632.1500,42623.2000,42623.3000,621225,54139340
28-04-2022 10:38,42626.5000,42638.6500,42621.1500,42635.6500,387783,54527123
28-04-2022 10:39,42634.8000,42639.7000,42631.8000,42632.8500,471297,54998420
28-04-2022 10:40,42632.3000,42640.5500,42627.6500,42627.6500,557146,55555566
28-04-2022 10:41,42628.8000,42632.6000,42608.7500,42609.7000,595760,56151326
28-04-2022 10:42,42607.9000,42611.1000,42590.2500,42595.3500,1023033,57174359
28-04-2022 10:43,42595.0500,42600.0000,42585.4000,42592.0000,602563,57776922
28-04-2022 10:44,42589.2000,42591.0500,42577.4000,42577.4000,548608,58325530
28-04-2022 10:45,42574.3000,42576.9000,42539.3000,42541.5500,580812,58906342
28-04-2022 10:46,42534.7000,42534.7000,42516.0500,42525.7500,738380,59644722
28-04-2022 10:47,42526.9000,42538.9500,42524.1000,42535.8500,525355,60170077
28-04-2022 10:48,42536.9000,42564.4000,42536.9000,42561.4500,469663,60639740
28-04-2022 10:49,42563.9000,42571.3000,42552.1000,42552.6000,502832,61142572
28-04-2022 10:50,42554.1000,42555.5500,42544.7500,42550.3500,295250,61437822
28-04-2022 10:51,42547.5500,42553.3000,42530.0000,42532.3000,316806,61754628
28-04-2022 10:52,42533.9000,42547.8000,42533.9000,42546.3000,317551,62072179
28-04-2022 10:53,42544.1500,42552.3500,42536.9500,42552.3500,420155,62492334
28-04-2022 10:54,42551.2000,42573.8000,42550.6000,42568.1000,335319,62827653
28-04-2022 10:55,42569.3500,42575.3000,42562.6000,42567.9500,365284,63192937
28-04-2022 10:56,42567.7500,42577.8000,42563.3000,42577.8000,274854,63467791
28-04-2022 10:57,42579.0500,42585.3000,42576.8000,42578.3000,338413,63806204
28-04-2022 10:58,42581.5500,42585.9500,42576.2000,42585.1500,242748,64048952
28-04-2022 10:59,42586.0500,42589.7000,42580.9500,42584.2500,171175,64220127
28-04-2022 11:00,42587.7500,42589.1500,42564.4500,42564.4500,541981,64762108
28-04-2022 11:01,42566.7500,42566.7500,42548.8500,42553.3000,519745,65281853
28-04-2022 11:02,42556.1500,42556.1500,42546.9000,42548.8500,235560,65517413
28-04-2022 11:03,42546.7500,42546.7500,42533.4000,42541.1500,339546,65856959
28-04-2022 11:04,42537.7000,42549.3500,42535.1500,42547.6500,290908,66147867
28-04-2022 11:05,42548.7500,42552.4500,42546.1500,42551.9000,276288,66424155
28-04-2022 11:06,42553.0000,42553.7500,42542.6000,42548.9500,165711,66589866
28-04-2022 11:07,42549.1500,42565.8000,42546.8000,42565.3000,239355,66829221
28-04-2022 11:08,42566.9000,42573.1500,42564.4500,42572.0000,202562,67031783
28-04-2022 11:09,42572.7000,42575.4000,42569.1000,42570.3000,184172,67215955
28-04-2022 11:10,42571.0500,42574.5000,42560.5500,42562.6500,170367,67386322
28-04-2022 11:11,42560.3500,42560.6500,42549.1000,42549.7000,223396,67609718
28-04-2022 11:12,42550.1000,42551.7000,42539.9000,42539.9000,383384,67993102
28-04-2022 11:13,42539.1000,42540.1000,42531.8000,42534.7000,460793,68453895
28-04-2022 11:14,42535.1500,42539.4000,42531.3500,42535.2000,195135,68649030
28-04-2022 11:15,42535.7000,42541.3500,42526.5000,42530.2500,202607,68851637
28-04-2022 11:16,42531.3500,42543.0500,42531.3500,42542.0500,154719,69006356
28-04-2022 11:17,42541.9500,42549.8000,42541.6000,42549.0000,323592,69329948
28-04-2022 11:18,42548.0500,42557.6500,42546.3500,42557.6500,440331,69770279
28-04-2022 11:19,42559.0000,42571.3000,42557.7000,42569.7000,224081,69994360
28-04-2022 11:20,42568.9500,42579.9500,42568.3500,42576.3500,302421,70296781
28-04-2022 11:21,42577.3500,42587.3500,42576.8500,42583.9000,342191,70638972
28-04-2022 11:22,42585.4500,42592.1000,42579.9500,42587.8000,395939,71034911
28-04-2022 11:23,42591.5000,42597.7500,42586.9000,42597.7500,115214,71150125
28-04-2022 11:24,42598.5000,42600.5000,42591.7500,42599.6000,404322,71554447
28-04-2022 11:25,42599.9000,42605.7500,42598.6000,42605.7500,202110,71756557
28-04-2022 11:26,42608.0000,42616.6000,42605.4500,42615.6000,255243,72011800
28-04-2022 11:27,42614.8500,42621.8000,42612.4500,42616.6500,726334,72738134
28-04-2022 11:28,42614.4500,42632.4000,42614.4500,42629.7000,206854,72944988
28-04-2022 11:29,42629.6000,42645.8000,42628.4500,42644.2500,293061,73238049
28-04-2022 11:30,42645.2500,42664.9000,42645.2500,42661.4500,415047,73653096
28-04-2022 11:31,42661.4500,42680.1000,42660.9500,42680.1000,246565,73899661
28-04-2022 11:32,42678.8500,42693.5000,42678.8500,42692.1000,322045,74221706
28-04-2022 11:33,42691.7000,42693.8500,42677.2000,42681.4000,273005,74494711
28-04-2022 11:34,42682.1500,42683.2000,42675.0000,42679.9500,273114,74767825
28-04-2022 11:35,42681.1000,42695.4500,42680.1000,42692.8000,204446,74972271
28-04-2022 11:36,42691.7000,42692.6500,42684.8500,42685.3500,130339,75102610
28-04-2022 11:37,42684.4000,42687.4500,42678.8500,42682.3500,217264,75319874
28-04-2022 11:38,42682.8500,42687.0500,42675.7000,42678.0000,190033,75509907
28-04-2022 11:39,42677.2500,42682.7000,42675.5500,42678.9000,122912,75632819
28-04-2022 11:40,42679.5500,42681.8500,42669.6500,42671.4000,149853,75782672
28-04-2022 11:41,42673.9500,42676.9500,42671.4000,42674.2500,230768,76013440
28-04-2022 11:42,42674.7500,42674.7500,42665.4000,42674.0500,115091,76128531
28-04-2022 11:43,42673.6500,42677.7500,42670.6000,42674.8500,157940,76286471
28-04-2022 11:44,42677.0500,42681.1500,42670.4500,42675.8500,155267,76441738
28-04-2022 11:45,42676.1000,42687.7000,42675.6500,42685.8000,213674,76655412
28-04-2022 11:46,42686.9000,42707.7000,42686.9000,42701.0000,341657,76997069
28-04-2022 11:47,42702.0000,42715.9000,42702.0000,42708.5000,179432,77176501
28-04-2022 11:48,42709.4000,42718.9000,42706.5000,42718.2000,263001,77439502
