Date,Open,High,Low,Close,Volume,CumulativeVolume
28-04-2022 09:07,4329.1500,4329.1500,4329.1500,4329.1500,0,0
28-04-2022 09:08,4329.1500,4329.1500,4329.1500,4329.1500,0,0
28-04-2022 09:09,4329.1500,4329.1500,4329.1500,4329.1500,0,0
28-04-2022 09:10,4329.1500,4329.1500,4329.1500,4329.1500,0,0
28-04-2022 09:11,4329.1500,4329.1500,4329.1500,4329.1500,0,0
28-04-2022 09:12,4329.1500,4329.1500,4329.1500,4329.1500,0,0
28-04-2022 09:13,4329.1500,4329.1500,4329.1500,4329.1500,0,0
28-04-2022 09:14,4329.1500,4329.1500,4329.1500,4329.1500,0,0
28-04-2022 09:15,4329.1500,4329.1500,4304.7500,4312.9500,3214755,3214755
28-04-2022 09:16,4312.8000,4312.8500,4303.8000,4303.9500,2026138,5240893
28-04-2022 09:17,4305.0000,4306.3500,4302.8000,4304.4500,1454177,6695070
28-04-2022 09:18,4304.1500,4304.7500,4301.3000,4302.4000,1617095,8312165
28-04-2022 09:19,4302.6000,4305.1500,4300.9000,4301.3500,1006395,9318560
28-04-2022 09:20,4301.6000,4303.0000,4298.3000,4299.8000,1287668,10606228
28-04-2022 09:21,4299.7500,4303.7000,4299.1000,4302.3000,886934,11493162
28-04-2022 09:22,4302.4000,4302.4000,4294.3000,4294.8000,913141,12406303
28-04-2022 09:23,4293.6000,4298.1500,4292.4500,4297.3500,1098697,13505000
28-04-2022 09:24,4296.8000,4298.1000,4294.8500,4295.5000,630941,14135941
28-04-2022 09:25,4295.7000,4297.7000,4294.6500,4297.0000,376639,14512580
28-04-2022 09:26,4296.9500,4297.3000,4291.3000,4293.3000,1151945,15664525
28-04-2022 09:27,4293.3000,4296.8500,4293.1000,4296.8500,316668,15981193
28-04-2022 09:28,4296.5000,4298.9000,4295.7000,4298.6000,742387,16723580
28-04-2022 09:29,4298.6000,4302.7000,4298.5500,4302.2500,1132424,17856004
28-04-2022 09:30,4301.8000,4306.1500,4301.8000,4305.7500,1102422,18958426
28-04-2022 09:31,4305.5500,4305.7500,4303.0000,4303.0000,618126,19576552
28-04-2022 09:32,4303.8000,4305.6500,4303.3500,4305.5500,653883,20230435
