Date,Open,High,Low,Close,Volume,CumulativeVolume
29-04-2022 09:07,7188.4500,7188.4500,7188.4500,7188.4500,0,0
29-04-2022 09:08,7188.4500,7188.4500,7188.4500,7188.4500,0,0
29-04-2022 09:09,7188.4500,7188.4500,7188.4500,7188.4500,0,0
29-04-2022 09:10,7188.4500,7188.4500,7188.4500,7188.4500,0,0
29-04-2022 09:11,7188.4500,7188.4500,7188.4500,7188.4500,0,0
29-04-2022 09:12,7188.4500,7188.4500,7188.4500,7188.4500,0,0
29-04-2022 09:13,7188.4500,7188.4500,7188.4500,7188.4500,0,0
29-04-2022 09:14,7188.4500,7188.4500,7188.4500,7188.4500,0,0
29-04-2022 09:15,7188.4500,7192.6000,7175.7500,7177.9000,0,0
29-04-2022 09:16,7178.0000,7181.7500,7173.8500,7177.7500,0,0
29-04-2022 09:17,7178.3000,7183.9000,7178.3000,7180.5500,0,0
29-04-2022 09:18,7181.2000,7183.5000,7178.3500,7178.9500,0,0
29-04-2022 09:19,7178.9500,7184.5500,7178.2500,7183.3000,0,0
29-04-2022 09:20,7183.3500,7196.9000,7182.3500,7195.7000,0,0
29-04-2022 09:21,7196.5000,7203.7500,7196.5000,7196.8000,0,0
29-04-2022 09:22,7196.6500,7196.6500,7190.7500,7191.3000,0,0
29-04-2022 09:23,7190.8500,7191.1500,7185.0000,7185.8000,0,0
29-04-2022 09:24,7186.3500,7187.4500,7184.7500,7185.0000,0,0
29-04-2022 09:25,7184.8000,7186.0500,7182.4000,7182.8000,0,0
29-04-2022 09:26,7182.9500,7182.9500,7177.6000,7179.8500,0,0
29-04-2022 09:27,7179.9000,7179.9000,7176.4000,7177.2500,0,0
29-04-2022 09:28,7177.4000,7178.6000,7174.8000,7174.8000,0,0
29-04-2022 09:29,7175.4000,7176.9500,7171.6500,7173.6500,0,0
29-04-2022 09:30,7173.8500,7178.5000,7170.5000,7177.1500,0,0
29-04-2022 09:31,7176.7500,7177.6000,7175.5500,7176.9000,0,0
29-04-2022 09:32,7176.8000,7177.0000,7172.6000,7174.3000,0,0
29-04-2022 09:33,7174.5000,7174.5000,7171.6000,7172.3500,0,0
29-04-2022 09:34,7172.3500,7172.3500,7167.7500,7168.2000,0,0
29-04-2022 09:35,7168.3500,7169.1500,7166.5000,7167.4000,0,0
29-04-2022 09:36,7166.5500,7167.5500,7164.5500,7166.6500,0,0
29-04-2022 09:37,7167.1000,7173.4500,7166.7500,7173.4500,0,0
29-04-2022 09:38,7173.1000,7173.2000,7166.8500,7167.3500,0,0
29-04-2022 09:39,7167.8000,7170.9500,7167.0000,7170.3000,0,0
29-04-2022 09:40,7170.6000,7174.7000,7170.0000,7174.7000,0,0
29-04-2022 09:41,7174.4500,7176.3500,7173.9500,7174.3500,0,0
29-04-2022 09:42,7174.7500,7174.7500,7171.5500,7172.5000,0,0
29-04-2022 09:43,7172.3000,7178.4500,7172.3000,7176.7500,0,0
